//2016-04-06T09:46:05.000-03:00  | PTSTS | R$ 1.00 | 1 Pontos
//2016-04-06T18:28:30.000-03:00  | netcetteraek877 | R$ 5.00 | 5 Pontos
//2016-04-06T20:42:31.000-03:00  | netcetteraek877 | R$ 10.00 | 20 Pontos
//2016-04-06T23:48:06.000-03:00  | KASTELLO | R$ 200.00 | 400 Pontos
//2016-04-05T17:03:55.000-03:00  | ygziin-sv | R$ 20.00 | 40 Pontos
2016-04-07 20:39:49 | CIRILO | R$ 50.00 | 100 Pontos
2016-04-07 22:21:08 | TIBIANOOO | R$ 30.00 | 60 Pontos
2016-04-07 22:44:15 | 36212621DA | R$ 45.00 | 90 Pontos
2016-04-08 10:49:12 | ROBACENA | R$ 20.00 | 40 Pontos
2016-04-08 20:31:56 | 33988063 | R$ 50.00 | 100 Pontos
2016-04-09 13:07:45 | GEGEGE | R$ 10.00 | 20 Pontos
2016-04-09 17:29:16 | 97251467K | R$ 40.00 | 80 Pontos
2016-04-09 19:03:20 | 3553490 | R$ 15.00 | 30 Pontos
2016-04-09 19:28:05 | ROBACENA | R$ 15.00 | 30 Pontos
2016-04-09 22:01:04 | 66364020 | R$ 30.00 | 60 Pontos
2016-04-09 21:51:32 | igor23 | R$ 35.00 | 70 Pontos
2016-04-10 08:34:15 | KAIQUE | R$ 30.00 | 60 Pontos
2016-04-10 19:12:39 | 240213MA | R$ 25.00 | 50 Pontos
2016-04-10 20:12:13 | LIPEMSX | R$ 20.00 | 40 Pontos
2016-04-10 20:23:47 | LIPEMSX | R$ 40.00 | 80 Pontos
2016-04-11 01:56:54 | kist98 | R$ 25.00 | 50 Pontos
2016-04-11 09:52:58 | BRUNO59 | R$ 100.00 | 300 Pontos
2016-04-11 20:12:47 | ALEF323200 | R$ 60.00 | 120 Pontos
2016-04-11 23:27:06 | DESSAO20 | R$ 25.00 | 50 Pontos
2016-04-11 23:35:32 | WAGNER157 | R$ 20.00 | 40 Pontos
2016-04-10 21:51:20 | PAUNOCUDEADM | R$ 40.00 | 80 Pontos
2016-04-11 10:03:26 | baiakdine | R$ 30.00 | 60 Pontos
2016-04-11 09:30:52 | luizluiz | R$ 25.00 | 50 Pontos
2016-04-12 12:47:29 | 5162154A | R$ 70.00 | 140 Pontos
2016-04-12 19:17:16 | 35234264 | R$ 5.00 | 5 Pontos
2016-04-12 19:38:43 | 35234264 | R$ 10.00 | 20 Pontos
2016-04-12 22:50:56 | HEITORBRYAN | R$ 15.00 | 30 Pontos
2016-04-12 23:19:19 | JAPPAX09 | R$ 35.00 | 70 Pontos
2016-04-12 23:30:32 | JAPPAX09 | R$ 10.00 | 20 Pontos
2016-04-11 12:42:39 | MATHEUS56 | R$ 50.00 | 100 Pontos
2016-04-13 08:07:47 | ALEF323200 | R$ 15.00 | 30 Pontos
2016-04-13 10:53:19 | 5162154A | R$ 70.00 | 140 Pontos
2016-04-13 11:32:57 | KIBERA | R$ 30.00 | 60 Pontos
2016-04-13 12:53:18 | KIBERA | R$ 40.00 | 80 Pontos
2016-04-13 11:54:07 | KIBERA | R$ 40.00 | 80 Pontos
2016-04-13 14:20:41 | 819610 | R$ 15.00 | 30 Pontos
2016-04-13 15:00:50 | JAPPAX95 | R$ 40.00 | 80 Pontos
2016-04-13 17:36:06 | BRENO0106 | R$ 30.00 | 60 Pontos
